run-id,region,crop,planting,nitrogen,gcm,scenario,ensmem,incl_historical,start_date,end_date,elevation,slope,latitude,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,use_vernalisation_fix,dem_asc_grid,slope_asc_grid,sim.json,crop.json,site.json,comment
1,nigeria,BokkosMaize_1,early,low,GFDL-ESM4,ssp126,r1i1p1f1,false,2019-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,1|0.9|0.95|0|0.87|1|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
2,nigeria,BokkosMaize_1,early,low,GFDL-ESM4,ssp126,r1i1p1f1,false,2019-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.9|0.8|0.85|0|0.7|0.9|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
3,nigeria,BokkosMaize_2,early,low,GFDL-ESM4,ssp126,r1i1p1f1,false,2019-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.7|0.75|0|0.6|0.8|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
4,nigeria,GindiriMaize,early,medium,IPSL-CM6A-LR,picontrol,r1i1p1f1,false,1601-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
5,nigeria,grain-maize_bs,early,high,MPI-ESM1-2-HR,ssp126,r1i1p1f1,true,1970-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
6,nigeria,FoburMaize,late,low,MRI-ESM2-0,ssp370,r1i1p1f1,true,1970-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
7,nigeria,BokkosMaize_1,late,medium,UKESM1-0-LL,ssp585,r1i1p1f2,true,1970-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
8,nigeria,HaskePotato,late,high,GFDL-ESM4,historical,r1i1p1f1,true,1970-01-01,2014-12-31,true,true,true,false,true,false,true,false,false,false,,,,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
9,nigeria,BokkosMaize_3,late,low,GFDL-ESM4,ssp126,r1i1p1f1,true,1970-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
10,nigeria,BokkosMaize_1,late,low,GFDL-ESM4,ssp126,r1i1p1f1,true,1970-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
