run-id,region,crop,planting,nitrogen,gcm,scenario,ensmem,incl_historical,start_date,end_date,elevation,slope,latitude,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,use_vernalisation_fix,dem_asc_grid,slope_asc_grid,sim.json,crop.json,site.json,comment
1,nigeria,Re_calibrated,early,low,GFDL-ESM4,ssp126,r1i1p1f1,TRUE,01/01/2010,31/12/2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.5|0.5|0.5|0|0.5|0.5|0,,TRUE,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
2,nigeria,Re_calibrated,early,low,IPSL-CM6A-LR,ssp126,r1i1p1f1,TRUE,01/01/2010,31/12/2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.5|0.5|0.5|0|0.5|0.5|0,,TRUE,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
3,nigeria,Re_calibrated,early,low,MPI-ESM1-2-HR,ssp126,r1i1p1f1,TRUE,01/01/2010,31/12/2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.5|0.5|0.5|0|0.5|0.5|0,,TRUE,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
4,nigeria,Re_calibrated,early,low,MRI-ESM2-0,ssp126,r1i1p1f1,TRUE,01/01/2010,31/12/2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.5|0.5|0.5|0|0.5|0.5|0,,TRUE,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
5,nigeria,Re_calibrated,early,low,UKESM1-0-LL,ssp126,r1i1p1f2,TRUE,01/01/2010,31/12/2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.5|0.5|0.5|0|0.5|0.5|0,,TRUE,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
6,nigeria,Re_calibrated,early,medium,GFDL-ESM4,ssp126,r1i1p1f1,TRUE,01/01/2010,31/12/2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.5|0.5|0.5|0|0.5|0.5|0,,TRUE,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
7,nigeria,Re_calibrated,early,medium,IPSL-CM6A-LR,ssp126,r1i1p1f1,TRUE,01/01/2010,31/12/2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.5|0.5|0.5|0|0.5|0.5|0,,TRUE,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
8,nigeria,Re_calibrated,early,medium,MPI-ESM1-2-HR,ssp126,r1i1p1f1,TRUE,01/01/2010,31/12/2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.5|0.5|0.5|0|0.5|0.5|0,,TRUE,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
9,nigeria,Re_calibrated,early,medium,MRI-ESM2-0,ssp126,r1i1p1f1,TRUE,01/01/2010,31/12/2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.5|0.5|0.5|0|0.5|0.5|0,,TRUE,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
10,nigeria,Re_calibrated,early,medium,UKESM1-0-LL,ssp126,r1i1p1f2,TRUE,01/01/2010,31/12/2020,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.5|0.5|0.5|0|0.5|0.5|0,,TRUE,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
